name,cv_delta,cv_se,cv_z,ho_delta,ho_se,ho_z,verdict,min_z,source,cv_acc,ho_acc,pos_share_ho,theme,comb_z
ACF_1,-0.0006,0.0006,-1.0,0.0015,0.0013,1.2,noise,-1.0,creative/screen_creative_ALL_interim.csv,,,,creative,0.19999999999999996
EFFICIENCY_RATIO,-0.0003557726242927,0.0006231926749789,-0.5708870443715638,0.0012115036231884,0.0012354685980636,0.9806025220610264,noise,-0.5708870443715638,creative/screen_creative_ALL_interim.csv,,,,creative,0.4097154776894626
PATH_ROUGHNESS,-0.0003159260903719,0.0006073452225524,-0.5201754762212853,0.0011096014492753,0.0012377962348083,0.8964330461444349,noise,-0.5201754762212853,creative/screen_creative_ALL_interim.csv,,,,creative,0.3762575699231495
FFT_LOW_SHARE,0.0002789257374454,0.000590033402378,0.4727287240372234,0.0009171195652173,0.001163710677178,0.7880992958158479,noise,0.4727287240372234,creative/screen_creative_ALL_interim.csv,,,,creative,1.2608280198530712
TREV_2,0.0002390792035247,0.000594727592589,0.4019978331321953,0.000883152173913,0.001151964592189,0.7666487146404574,noise,0.4019978331321953,creative/screen_creative_ALL_interim.csv,,,,creative,1.1686465477726526
CHEB_C1,0.0004923893120211,0.0006006755448189,0.8197259173745319,0.0009057971014492,0.0012030233107324,0.7529339567807408,noise,0.7529339567807408,creative/screen_creative_ALL_interim.csv,,,,creative,1.5726598741552729
TREV_CUM_1,0.0003984653392078,0.0005924066803388,0.6726212793210131,0.0008944746376811,0.0012635796987559,0.7078893706204754,noise,0.6726212793210131,creative/screen_creative_ALL_interim.csv,,,,creative,1.3805106499414885
CHEB_C2,0.0001878479456265,0.0006140046725949,0.3059389512992598,0.000690670289855,0.0011956984155548,0.5776291754426771,noise,0.3059389512992598,creative/screen_creative_ALL_interim.csv,,,,creative,0.8835681267419369
FFT_MAG_4,-0.0003443879003153,0.0006438518022183,-0.5348869089576072,0.0007359601449275,0.001301299151224,0.5655579996615253,noise,-0.5348869089576072,creative/screen_creative_ALL_interim.csv,,,,creative,0.030671090703918158
DFA_ALPHA,-0.0001,0.0006,-0.2,0.0006,0.0012,0.5,noise,-0.2,creative/screen_creative_ALL_interim.csv,,,,creative,0.3
POLY2_RESID_STD,0.0011868574746405,0.0006046366626616,1.962926742509991,0.0005095108695652,0.00110138194022,0.462610517713252,survivor,0.462610517713252,creative/screen_creative_ALL_interim.csv,,,,creative,2.4255372602232432
FFT_PHASE_1,-0.0005293896649475,0.0005766806064097,-0.9179945693742746,0.0004642210144927,0.0011707206746003,0.3965258533178514,noise,-0.9179945693742746,creative/screen_creative_ALL_interim.csv,,,,creative,-0.5214687160564232
HURST_RS,-0.0003,0.0006,-0.6,0.0004,0.0012,0.3,noise,-0.6,creative/screen_creative_ALL_interim.csv,,,,creative,-0.3
EFF_RATIO_SIGNED,0.0013405512483349,0.0006228413840098,2.152315634045728,0.000294384057971,0.0013265552256947,0.2219161722549783,survivor,0.2219161722549783,creative/screen_creative_ALL_interim.csv,,,,creative,2.3742318063007066
AREA_CUM,0.0007485456015118,0.0006036856886003,1.239959163596179,0.0002717391304347,0.0013181094581741,0.2061582433458885,noise,0.2061582433458885,creative/screen_creative_ALL_interim.csv,,,,creative,1.4461174069420677
SAMPLE_ENTROPY,-0.0008,0.0006,-1.4,0.0002,0.0012,0.2,noise,-1.4,creative/screen_creative_ALL_interim.csv,,,,creative,-1.2
VAR_RATIO_2,-0.0001,0.0006,-0.1,0.0002,0.0011,0.2,noise,-0.1,creative/screen_creative_ALL_interim.csv,,,,creative,0.1
LZ_COMPLEXITY,-0.0008396233933308,0.0005905153608923,-1.4218485223856627,0.000203804347826,0.0011835703851712,0.1721945313768493,noise,-1.4218485223856627,creative/screen_creative_ALL_interim.csv,,,,creative,-1.2496539910088134
N_RET_EXTREMA,-0.000574928560857,0.0006026190053997,-0.954049831992376,0.000203804347826,0.0011835703851712,0.1721945313768493,noise,-0.954049831992376,creative/screen_creative_ALL_interim.csv,,,,creative,-0.7818553006155267
N_SIGN_CHANGES,-7.684688684722835e-05,0.0005919947816305,-0.1298100747367525,0.000203804347826,0.0011835703851712,0.1721945313768493,noise,-0.1298100747367525,creative/screen_creative_ALL_interim.csv,,,,creative,0.042384456640096824
PERM_ENTROPY_3,-0.0008396233933308,0.0005905153608923,-1.4218485223856627,0.000203804347826,0.0012267864141898,0.1661286312505095,noise,-1.4218485223856627,creative/screen_creative_ALL_interim.csv,,,,creative,-1.2557198911351533
HAAR_D2_LAST,9.392397281327913e-05,0.0006003964712269,0.1564365836816802,0.000203804347826,0.0012470601147577,0.1634278455499188,noise,0.1564365836816802,creative/screen_creative_ALL_interim.csv,,,,creative,0.31986442923159897
CYCLE_FORECAST,4.838507690381043e-05,0.00059549262496,0.0812521849570502,0.0001924818840579,0.0012437097697968,0.1547643097548513,noise,0.0812521849570502,creative/screen_creative_ALL_interim.csv,,,,creative,0.2360164947119015
FFT_MAG_3,0.000566390017874,0.0006452378574784,0.8778003511563791,0.0001245471014492,0.0011878888172446,0.104847439963419,noise,0.104847439963419,creative/screen_creative_ALL_interim.csv,,,,creative,0.9826477911197982
CHEB_C3,8.253924883591191e-05,0.0006434162412415,0.1282828184079541,0.0001245471014492,0.0011903761779116,0.1046283551034902,noise,0.1046283551034902,creative/screen_creative_ALL_interim.csv,,,,creative,0.2329111735114443
FFT_PHASE_2,-0.0006716987146646,0.0006122968459699,-1.0970148206473749,9.05797101449276e-05,0.0012659337422654,0.0715516990508742,noise,-1.0970148206473749,creative/screen_creative_ALL_interim.csv,,,,creative,-1.0254631215965007
HAAR_D1_LAST,0.0002163097555699,0.000670618914394,0.3225524227354042,6.793478260869545e-05,0.001274341831077,0.0533097014882405,noise,0.0533097014882405,creative/screen_creative_ALL_interim.csv,,,,creative,0.3758621242236447
FFT_HIGH_SHARE,-0.0002789257374454,0.0005955040786869,-0.4683859396236535,2.2644927536231894e-05,0.0013357378629089,0.0169531224389463,noise,-0.4683859396236535,creative/screen_creative_ALL_interim.csv,,,,creative,-0.4514328171847072
FFT_DOMFREQ,-9.10777918189374e-05,0.0005956996777602,-0.1528921287340156,1.1322463768116166e-05,0.001236913304761,0.0091538054644046,noise,-0.1528921287340156,creative/screen_creative_ALL_interim.csv,,,,creative,-0.14373832326961097
VAR_RATIO_5,0.0001,0.0006,0.1,-0.0,0.0012,-0.0,noise,-0.0,creative/screen_creative_ALL_interim.csv,,,,creative,0.1
FFT_PHASE_3,0.0003045413663945,0.000657399516865,0.4632515823054157,-0.0001245471014492,0.0012106222647822,-0.1028785815959503,noise,-0.1028785815959503,creative/screen_creative_ALL_interim.csv,,,,creative,0.3603730007094654
FFT_MAG_2,-8.253924883591213e-05,0.0006155591612715,-0.134088246961369,-0.0001471920289855,0.0012147500906495,-0.1211706260559325,noise,-0.134088246961369,creative/screen_creative_ALL_interim.csv,,,,creative,-0.2552588730173015
HAAR_E2_SHARE,0.0005976980088117,0.0006363148044159,0.9393118070863804,-0.0002377717391304,0.0012920670898313,-0.1840242979654159,noise,-0.1840242979654159,creative/screen_creative_ALL_interim.csv,,,,creative,0.7552875091209645
PERM_ENTROPY_4,-0.0005265434839532,0.0006077508358195,-0.8663805180015091,-0.0002830615942028,0.0011983667673083,-0.2362061448338349,noise,-0.8663805180015091,creative/screen_creative_ALL_interim.csv,,,,creative,-1.102586662835344
KATZ_FD,-0.0002,0.0006,-0.4,-0.0005,0.0012,-0.4,noise,-0.4,creative/screen_creative_ALL_interim.csv,,,,creative,-0.8
FFT_MAG_5,-0.0001963864886095,0.0005989845338965,-0.3278657085384716,-0.0006567028985507,0.001171145739344,-0.5607354204426827,noise,-0.5607354204426827,creative/screen_creative_ALL_interim.csv,,,,creative,-0.8886011289811542
HAAR_A2_LAST,-0.0003130799093775,0.000589043555114,-0.531505534114543,-0.0007246376811594,0.0012535509024426,-0.5780680144279742,noise,-0.5780680144279742,creative/screen_creative_ALL_interim.csv,,,,creative,-1.1095735485425173
FFT_MAG_1,0.0003358493573323,0.0005955762716655,0.5639065444852386,-0.0007246376811594,0.0011441353681423,-0.6333496029721942,noise,-0.6333496029721942,creative/screen_creative_ALL_interim.csv,,,,creative,-0.06944305848695564
HAAR_D1xD2_LAST,-2.8461809943417264e-06,0.0006403892519055,-0.0044444546592132,-0.0008038949275362,0.0012487223420005,-0.6437739603892376,noise,-0.6437739603892376,creative/screen_creative_ALL_interim.csv,,,,creative,-0.6482184150484508
HAAR_E1_SHARE,0.0001024625157963,0.0005875724089325,0.1743827896589675,-0.0007699275362318,0.0011643212497962,-0.661267271697244,noise,-0.661267271697244,creative/screen_creative_ALL_interim.csv,,,,creative,-0.4868844820382765
TREV_1,-0.0006346983617382,0.0006220025792053,-1.0204111412995924,-0.000883152173913,0.0012510754312091,-0.705914409221086,noise,-1.0204111412995924,creative/screen_creative_ALL_interim.csv,,,,creative,-1.7263255505206785
SPEC_ENTROPY,-0.0005407743889249,0.0005842561683043,-0.9255775433136074,-0.0009057971014492,0.0012794837928472,-0.7079394881850125,noise,-0.9255775433136074,creative/screen_creative_ALL_interim.csv,,,,creative,-1.63351703149862
CUM5_OVER_CUM20,-0.0003358493573323,0.0005936811580863,-0.5657066133190147,-0.0018115942028985,0.0012414278596335,-1.4592827032520743,noise,-1.4592827032520743,creative/screen_creative_ALL_interim.csv,,,,creative,-2.024989316571089
MOM_2,-0.0007343146965401,0.000610635974073,-1.2025408389259928,1.626303258728257e-19,0.0012475247243517,1.303624070114745e-16,noise,,screen_ordinary_part1.csv,0.519169028996892,0.5230072463768116,0.5923135878663197,ordinary,-1.2025408389259926
MOM_3,-0.0001679246786661,0.0006373263029646,-0.2634830508093545,0.0005095108695652,0.0012144430420482,0.4195428290369868,noise,,screen_ordinary_part1.csv,0.5197354190147659,0.5235167572463768,0.5935842358968153,ordinary,0.15605977822763228
MOM_4,0.0010217789769687,0.0006157791895062,1.659326905457711,-0.0008152173913043,0.0012303878241174,-0.6625694560079926,noise,,screen_ordinary_part1.csv,0.5209251226704009,0.5221920289855073,0.5964381517113411,ordinary,0.9967574494497186
MOM_7,-0.0001480014117057,0.0005940825935008,-0.2491259857213334,0.0002830615942028,0.001151967906361,0.2457200349418243,noise,,screen_ordinary_part1.csv,0.5197553422817264,0.5232903079710145,0.594895221960025,ordinary,-0.003405950779509115
MOM_15,-0.000250463927502,0.000598013688302,-0.418826412173283,-1.132246376811584e-05,0.0012731863047732,-0.0088930141061581,noise,,screen_ordinary_part1.csv,0.5196528797659301,0.5229959239130435,0.593201024586031,ordinary,-0.4277194262794411
SKIP_MOM_2_5,0.0007200837915684,0.0006327332471769,1.1380527177625628,-0.0001245471014492,0.0013223185705881,-0.0941884234401067,noise,,screen_ordinary_part1.csv,0.5206234274850007,0.5228826992753624,0.5866057562372683,ordinary,1.043864294322456
